,Bacteroides_fragilis,Bacteroides_uniformis|t__SGB1836_group,Faecalibacterium_prausnitzii,Prevotella_copri_clade_A|t__SGB1626,_Cutibacterium_acnes|t__SGB16955,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,putredinis|t__SGB2318,stercoris|t__SGB1830_group,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
60,0.01115,0.1513,17.9645,1.64897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,2.36831,19.5804,15.86707,3.44862,11.30077
62,0.0,0.48232,0.34133,43.03393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.03604,0.97425,0.74972,1.45662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.6325,0.64975,0.00046,0.66115,0.86841
65,0.0,0.74788,0.0183,35.1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,1.76932,19.31076,16.08967,2.8128,11.75432
68,0.0,0.0,0.0,0.0,0.0,0.0,0.00393,0.0,0.0,0.00393,0.0
69,0.55329,7.15354,4.42508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.89624,2.51176,10.65824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,2.88099,6.27424,0.00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,7.11289,0.0,0.00562,7.11347,1.76671
73,0.79902,14.4827,2.97071,0.02542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.01089,0.00021,1.74231,36.78859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,5.99416,0.0,7.23886,9.82591,2.24322
76,0.0,5.46393,6.74958,0.13495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,7.3571,0.08377,0.34504,0.00846,26.16113,4.05888
78,0.0,0.0,0.0,0.0,0.0,16.40208,2.79229,7.06524,1.60462,20.36424,10.80752
79,0.0,0.0,0.0,0.0,0.0,0.0,65.54647,0.0,0.0,65.54681,0.0
80,0.27659,1.36,2.25633,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.20016,4.56686,12.11138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.12845,0.11345,0.01763,0.14629,0.03994
83,0.0,1.97496,3.94999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.69907,2.46503,3.0529,0.00635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.01119,9.50842,0.3013,0.00398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.04466,0.00217,0.0,0.0,0.10005,0.03742
89,0.0,0.0,0.0,0.0,0.0,0.0,0.03034,3.41881,0.0,0.03034,0.08291
90,0.0,0.0,0.0,0.0,0.0,0.01294,11.10788,0.2215,13.0265,19.64524,4.76912
91,0.0,0.0,0.0,0.0,0.0,0.0,25.44674,0.0,15.43745,25.5071,4.50194
92,0.0,0.0,0.31913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.10852,8.15887,0.37516,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.29749,9.55316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.2765,37.0396,0.03503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.32272,8.59574,0.00916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.76382,0.00588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,25.55811,0.17837,0.02337,0.42058,25.75772,0.75122
99,0.0,1.05716,1.22448,0.05642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,66.41921,0.27809,1.79423,0.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,57.49191,0.0,3.93773,0.0,0.0,3.93773,0.4515
104,0.04607,0.48076,0.0615,0.03284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.51487,26.60158,0.0,0.7354,39.82765
106,0.01339,0.62887,0.37516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.06752,0.72121,3.32052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.00097,1.02145,3.85883,0.8709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.08495,0.61173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1.04772,4.4218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,2.36009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.02144,2.21755,4.92379,20.37964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.74797,2.57294,1.64065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
