,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Escherichia_coli|t__SGB10068,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Phocaeicola_plebeius,Prevotella_copri_clade_A,Ruminococcus_torques,parainfluenzae,putredinis,unclassified
123,0.0,0.29406,0.0,0.73238,0.62134,0.30892,0.0,2.29811,0.0,0.00107,0.01676,0.03404,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13981
125,0.65627,0.0,0.0,0.0,0.93093,0.0,11.2451,0.77099,0.0,0.0,0.0,2.14065,0.0,0.0,0.0
126,0.07137,0.26932,1.25612,4.37719,0.21221,1.90024,0.0,1.50839,0.0,5.01897,0.0066,0.10062,0.0,0.0,0.0
127,0.5079,0.0,0.79261,0.60525,0.87968,0.0,1.35071,0.69599,0.0,0.0,0.0,1.39825,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18344,20.39968
129,1.93587,0.0,0.5839,7.55254,0.216,0.14853,0.00086,4.01073,0.14333,1.22478,0.0,0.33481,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68984,7.0145
131,7.06138,0.0,0.0,0.0,2.29566,0.0,2.74083,1.30621,0.0,0.0,0.0,0.72756,0.0,0.0,0.0
132,0.01251,0.80229,0.02444,1.88518,0.2984,0.68558,0.0,2.17471,11.76954,0.0,6.96154,0.01711,0.0,0.0,0.0
133,18.60051,0.0,0.0,0.0,1.95186,0.0,0.99793,2.19702,0.0,0.0,0.0,0.2261,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966,0.0,5.09016
135,0.04961624008421332,0.020979842100158824,5.325669753817144,2.242720431948852,0.14616507273968363,0.10751472713086385,0.0,3.8637302956127244,0.006385789097191368,0.0,0.008286937764644174,0.23079380602591773,0.0,0.0,0.0
136,0.0,0.07458787482566914,0.47525582755937723,0.7090093477561239,6.599171197434135,0.14221538462892186,0.003161906118048101,3.22065621555227,0.0,0.0,0.0,2.7823673081773794,0.0,0.0,0.0
137,0.003743231404518578,0.26111904285039855,0.015051677576898112,3.8571037821665066,0.424924762356047,0.38247928718206636,0.0012801382242847775,12.00002137907596,0.17599889895605303,1.4927969978601068,0.4797502308602324,0.8223714988346267,0.0,0.0,0.0
138,0.0,0.014337136752997205,0.10404616423235531,0.15314109001227955,3.286907022384631,0.7828716948212242,0.02682681380850598,3.345890557245053,0.0,0.0,0.0,1.5306258017084478,0.0,0.0,0.0
139,0.3230727751989322,0.1251824399948587,0.0,7.505752899542423,0.14524297512162532,0.09186340618188509,0.0,2.5090978166353186,0.0,0.0,0.0012108990485334911,3.760065118959786,0.0,0.0,0.0
140,0.0,0.0,0.0,0.8252638312366272,2.9911399100551,0.0,0.04332855670717681,8.773409298368847,0.05309503876932973,0.0,1.4645966753974722,0.8014402113056045,0.0,0.0,0.0
141,0.14960843306566665,0.046333171675723483,3.7832523796832174,3.956152226174658,0.12280869371471166,0.08360237891851097,0.0,2.853372597224852,0.004536340575903814,0.0,0.006315516411431213,1.431925523277585,0.0,0.0,0.0
142,0.0,0.005298965787300548,0.019076276834281973,0.5671694720685485,2.2932104787901517,0.008744481657966824,0.038132599517568595,13.049515814917502,0.18254298202166389,0.05005265262049271,1.7248340373210727,0.8306744783999959,0.0,0.0,0.0
143,0.00023325031006674252,47.56553560390297,0.0032750449568193234,0.1596031619362812,0.7681587629118254,0.7045692843169112,0.0,1.065871351215105,0.0,0.0051124948322209575,0.05833604329931891,0.0,0.0,0.0,0.0
144,0.02720156899615821,0.06425868804802783,2.570556983611434,2.076137468132289,0.3413052472349117,3.4563411971055644,0.0011623842100752112,6.234535271172097,12.706352599630547,3.0791161903600632,0.009729965574016581,0.24870927278306376,0.0,0.0,0.0
145,0.026300231920918127,0.08208577854476552,3.4223903006481686,2.3362381493756557,0.362109657618894,3.0244941283039783,0.0010034387473447023,5.688629325986957,12.293484975930495,4.103813359092385,0.012967994787325302,0.2591153546936581,0.0,0.0,0.0
146,0.016891311586355748,0.009370911857499265,0.13003476224387267,0.08062542078868908,0.07037940358361935,0.06094884533849518,0.15693477804936662,1.966623102621516,0.15767688905688684,0.4196856778798687,34.68355371101454,0.5982994485216048,0.0,0.0,0.0
147,0.49074458060945947,0.560672495268485,0.0,5.908986268561058,3.2166299496574,0.008003537578613357,0.002138498827277797,5.237245044374392,0.0,0.0,0.0,0.20329761802268762,0.0,0.0,0.0
