,Bacteroides_xylanisolvens,Bilophila_wadsworthia|t__SGB15452,Blautia_faecis,Clostridia_unclassified_SGB4121|t__SGB4121,Clostridium_fessum,Dorea_formicigenerans|t__SGB4575,Enterocloster_aldensis,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15342,GGB29535_SGB42321,Lachnospira_pectinoschiza,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium|t__SGB4750,Phascolarctobacterium_faecium,Ruminococcus_torques,unclassified
33,0.33744,0.25591,1.75865,0.10066,0.36234,0.24689,0.0,7.20509,1.56807,1.63147,0.01535,0.0,1.42142,0.01694,0.0,0.69588,0.0
34,0.07515,0.0,0.72893,0.16614,0.11809,0.11317,0.0,8.77324,0.43792,1.6561,0.0,0.0,1.31115,0.0,0.03259,0.0761,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39616
36,0.98007,0.06043,0.1961,0.0,0.10965,0.09383,0.0,7.87493,4.90156,0.63925,0.0,0.0,2.60478,0.0673,0.48603,0.21744,0.0
37,0.21125,0.44238,0.06264,0.0,0.37634,0.01263,0.0,5.0332,1.13409,0.70576,0.0,1.14501,0.42225,0.01242,1.76634,0.28237,0.0
38,0.0,0.0,0.09207,0.03357,0.07083,0.02431,0.0,0.54965,0.1114,0.15037,0.12833,0.0,0.46396,0.0175,0.45602,1.0226,0.0
39,0.13179,0.22432,0.10844,0.14599,0.37994,0.11354,0.0,2.24227,0.0663,0.45468,0.0,1.04039,0.53972,0.00461,0.19601,0.32481,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4901
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.28496,0.02168,0.03056,0.0,0.16753,0.01617,0.0,3.93705,1.5875,0.74712,0.0,3.25661,1.77979,0.00671,0.84218,0.14363,0.0
43,0.05043,0.11959,0.0181,0.0,0.16009,0.03456,0.0,11.44678,6.73782,0.58996,0.0,0.31136,0.20864,0.0025,0.0,0.04338,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06349
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73194
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09094
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52071
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39981
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6315700000000002
51,0.18499,0.18894,0.08204,0.01226,0.01825,0.04556,0.0,4.61844,0.64509,0.49067,0.0,9.01562,0.44312,0.0,0.0,0.76816,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.78468
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2668
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31134
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63149
57,0.0,0.0,0.21238,0.02289,0.05696,0.02413,0.0,2.34709,0.05052,0.41702,0.18429,0.0,1.27474,0.0,0.50459,0.20837,0.0
58,0.0,0.17746,1.24526,0.0,0.24282,0.13425,0.0,4.66314,1.07179,0.65397,0.0,0.0,2.25976,0.01686,0.44236,0.93117,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93889
60,0.01183,0.02372,0.05462,0.0,0.0717,0.24729,0.0,17.9645,0.19301,1.06912,0.0,0.0354,0.81085,0.05905,0.0,0.70944,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81113
62,0.08472,0.00016,0.0,0.0,0.00108,0.0221,0.0,0.34133,0.04895,0.04589,0.0,0.1485,0.01895,0.0,0.0,0.07562,0.0
63,0.20619,0.0,0.02905,0.00335,0.00153,0.09661,0.0,0.74972,0.01481,0.02221,0.0,0.04166,0.2651,0.0,1.01207,0.59518,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11071
65,0.71512,0.07858,0.01857,0.00598,0.10208,0.02099,0.0,0.0183,0.01063,0.00517,0.0,1.90469,0.14318,0.06398,0.55538,0.2545,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504400000000001
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664
69,1.92465,0.08539,0.42313,0.21373,0.28456,0.1843,0.0,4.42508,1.09193,0.0,0.0,0.61194,2.13152,0.07918,0.0,0.0,0.0
70,0.4163,0.29833,0.33585,0.05403,0.45206,0.45399,0.00317,2.51176,1.03782,0.19612,0.0,0.0,1.14048,0.42245,0.0,0.40868,0.0
71,0.11512,0.37826,0.00678,0.01663,0.26088,0.02264,0.00665,6.27424,0.95794,1.11162,0.0,0.26358,0.17227,0.02479,2.58214,0.10703,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32191
73,1.40288,0.00454,0.22139,0.0,1.20738,0.03541,0.06208,2.97071,2.0963,0.87421,0.0,2.21202,0.82604,0.11742,2.5476,0.03721,0.0
74,0.0,0.01539,0.03518,0.14612,0.0,0.01694,0.00957,1.74231,0.18498,0.00076,0.0,0.0,0.45735,0.41397,0.0,0.6929,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0417
76,0.23325,0.64761,0.0302,0.00094,0.42007,0.0,0.03945,6.74958,6.74958,0.0,0.0,0.0,0.02571,0.0,1.13708,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88272
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59209
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.54681
80,0.92469,0.24889,0.33477,0.00728,0.33462,0.11285,0.03206,2.25633,0.85726,0.0272,0.0,0.0,0.73102,0.01116,3.68943,0.20878,0.0
81,0.0,0.23355,0.10772,0.0256,0.17247,0.23886,0.0,12.11138,3.95928,1.24794,0.0,0.15753,1.9487,0.01235,0.0,0.97917,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56118
83,0.04061,0.18733,0.17826,0.0527,0.12412,0.15351,0.0,3.94999,1.52717,0.3764,0.0,0.0,2.62971,0.02788,0.0,0.43056,0.0
84,0.24198,0.39278,0.11581,0.05177,0.0,0.34612,0.00652,3.0529,0.59056,0.0,0.0,1.48871,0.15718,0.03774,0.8617,0.90843,0.0
85,2.73046,0.23629,0.16813,0.40794,0.15102,0.08558,0.00339,0.3013,0.09818,0.0,0.0,0.46723,0.17232,0.0,2.63711,1.64489,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15344
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7790800000000004
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34345
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.70658
92,0.0,0.0,0.1345,0.05715,0.11067,0.09564,0.0,0.31913,0.05128,0.06492,0.05899,0.0,1.31337,0.02185,0.17493,1.43137,0.0
93,0.0493,0.0,1.21412,0.09722,0.15445,0.87191,0.02678,0.37516,0.14108,0.07173,0.0,0.0,0.92811,0.00147,0.0,4.37807,0.0
94,0.0,0.11325,0.41162,0.04718,1.27755,0.53283,0.0,9.55316,5.34576,0.87362,0.0,0.09762,1.21745,0.06835,0.0,0.18242,0.0
95,1.86653,0.0,0.0,0.0062,0.0,0.00395,0.0,0.03503,0.03503,0.0,0.0,0.0,0.00546,0.0,0.17046,0.26388,0.0
96,0.19972,0.01235,0.0666,0.04774,0.40147,0.03188,0.00207,8.59574,0.00154,2.81191,0.0,0.0,0.17246,0.0,0.32902,0.08828,0.0
97,0.0,0.0,0.0,1.09267,0.0,0.0,0.22708,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,3.0301,6.97158,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77347
99,2.19845,0.87324,0.07158,0.0,0.09428,0.04063,0.00089,1.22448,0.24419,0.20079,0.0,0.23336,0.27687,0.00832,0.0,0.07518,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53974
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.8424,0.0,0.0,0.03368,1.63027,0.0,0.08856,1.79423,1.79423,0.0,0.0,0.0,0.38026,0.38026,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93773
104,0.03766,0.14111,0.19174,0.08885,3.2517,0.1535,0.29561,0.0615,0.00125,0.0,0.0,0.0,0.25662,0.0358,0.00689,6.22785,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05954
106,0.0,0.0028,2.4749,0.30869,0.03271,0.40137,0.0,0.37516,0.00882,0.07317,0.0,0.02943,0.5534,0.01233,0.75699,3.79948,0.0
107,0.10734,0.0204,1.41323,0.03163,0.50119,0.52231,0.0,3.32052,0.52753,0.32056,0.0,0.19096,1.22242,0.34643,0.0,2.45749,0.0
108,0.14066,0.00575,0.54813,0.03229,0.42853,0.69725,0.01251,3.85883,0.04086,0.10678,0.0,0.40217,1.4425,0.0321,0.0,5.48355,0.0
109,0.0,0.0,0.38607,0.0,0.19954,0.68195,0.0,0.61173,0.0,0.57732,0.0,0.0,1.4982,0.00128,0.0,6.20692,0.0
110,8.44857,0.10001,0.23534,0.804,0.0,0.0,0.22621,0.0,0.0,0.0,0.0,0.0,0.19813,0.0,0.797,0.31802,0.0
111,0.0,0.0,0.26681,0.02683,0.09166,0.04642,0.0,2.36009,0.27314,0.28007,0.00649,0.0,0.52196,0.04765,0.49237,0.98064,0.0
112,0.92223,0.19142,0.09236,0.03386,0.43596,0.0,0.0,4.92379,2.8851,0.80019,0.0,0.0,0.41444,0.08578,0.00607,2.19704,0.0
113,0.01833,0.00395,0.0,0.0,0.01298,0.01171,0.0,1.64065,0.11767,0.0,0.00589,0.0,0.04241,0.0,0.0,0.0,0.0
114,0.01024,0.24652,0.01113,0.00438,0.03842,0.00587,0.0,3.50458,0.03356,1.79418,0.0,0.31903,0.53759,0.0,0.02775,0.09108,0.0
115,0.0,0.0,0.0714,0.01696,0.0,0.40306,0.2333,0.0,0.0,0.0,0.0,0.0,1.72233,0.0276,0.0,2.69321,0.0
116,0.05514,0.0,1.49592,0.06426,0.0,0.74038,0.0,4.85501,3.32677,1.52825,0.0,0.0,0.27816,0.0,0.0,0.16139,0.0
117,0.25836,0.14763,0.07559,0.00815,0.28903,0.01928,0.00102,7.15817,0.16729,4.21133,0.0,0.0,0.04001,0.0,0.23309,0.07843,0.0
118,0.15335,0.0,0.0,0.0,0.0,0.02332,0.0,2.67698,0.04543,1.06009,0.0,0.0,0.15175,0.0,0.0,0.07603,0.0
119,1.67668,0.05957,0.00708,0.0179,0.0,0.0,0.0066,0.0017,0.0017,0.0,0.0,0.0,0.76322,0.03274,0.0,13.25429,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56418
121,0.0,0.0,0.0,0.04443,0.0,0.0,0.0,3.93278,1.15741,2.77471,0.0,0.0,0.02897,0.02897,0.0,1.49807,0.0
122,1.13454,0.50349,0.08678,0.07895,0.26542,0.02977,0.11443,0.0,0.0,0.0,0.0,2.88016,0.97959,0.60754,1.67737,0.52422,0.0
123,0.08347,0.00426,0.0,0.0,1.48309,0.0,0.0,2.29811,2.29811,0.0,0.0,0.0,2.44503,0.0,1.24212,0.03404,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13981
125,0.0,0.0,0.0874,0.10529,0.03594,0.06971,0.0,0.77099,0.07103,0.47373,0.22593,0.0,0.81406,0.0,0.36814,2.14065,0.0
126,0.38593,0.05907,0.03512,0.0,0.45211,0.04025,0.0,1.50839,0.27898,0.20872,0.0,0.00097,1.05225,0.0358,0.03829,0.10062,0.0
127,0.0,0.06538,0.31791,0.0,0.13069,0.03873,0.0,0.69599,0.0,0.20973,0.0,0.0,1.13226,0.07394,0.24733,1.39825,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39968
129,0.10023,0.12918,0.04824,0.12487,0.52596,0.23794,0.0,4.01073,0.31684,0.08986,0.0,0.0,0.60929,0.00592,1.89676,0.33481,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0145
131,0.0,0.0,0.192,0.02815,0.12981,0.10688,0.0,1.30621,0.02743,0.44255,0.2678,0.0,1.34752,0.02135,0.91721,0.72756,0.0
132,0.51909,0.00057,0.11589,0.08716,0.92925,0.0,0.03553,2.17471,2.17471,0.0,0.0,0.0,1.04981,0.0008,3.78155,0.01711,0.0
133,0.0,0.0,0.03174,0.00358,0.1424,0.04025,0.0,2.19702,0.13341,0.34653,0.09912,0.0,0.34922,0.0,0.38088,0.2261,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09016
135,0.2801090580742512,0.021233728163667004,0.05492298406873995,0.002001224535437914,0.16726075481461092,0.033784975148689986,0.0005512527572415895,3.8637302956127244,1.5577261757606653,0.733217438397558,0.0,3.1895743300313466,1.7622585978981509,0.006602137249889995,0.8248441505939611,0.23079380602591773,0.0
136,0.15456167260809583,0.021578631090814683,1.3709187386175883,0.03121686227018418,0.48610911880506996,0.5065936148827314,0.00019859497573083713,3.22065621555227,0.5117076975623416,0.3109143022090489,0.0,0.18521398536885442,1.2086026041127877,0.336991021524696,0.0,2.7823673081773794,0.0
137,0.008449917624434734,0.21445516334561607,0.0927035094685338,0.0213105316044908,0.17039563989310924,0.20462803151552617,0.0,12.00002137907596,4.424844824830396,1.1376906087938616,0.0,0.18330534856567113,1.657140141551182,0.010699560011884154,0.0,0.8223714988346267,0.0
138,0.022792480140206163,0.004331717857836834,0.8312352454890715,0.08570292005193633,0.10642223888084523,0.26870682346508457,0.0,3.345890557245053,0.23448076612785268,0.06806742531902821,0.0,0.08406654071014885,1.252004543002924,0.27438265845374193,0.0,1.5306258017084478,0.0
139,0.04033602911668994,0.04246522109121835,1.0129488562820639,0.08419769584862745,0.15772648590907196,0.7568057045095449,0.021910727378193846,2.5090978166353186,0.8353240897901516,0.2855943446786638,0.0,0.028642887084134563,1.1136787432818949,0.0034482556432132547,0.0,3.760065118959786,0.0
140,0.04105025528966788,0.02077056074090138,0.4025557900593731,0.23671997921791946,0.2957980719712908,0.5036448771821617,0.0,8.773409298368847,1.2804128458994335,0.7592313037402689,0.0,0.05796612299848275,1.8890426289612405,0.015344786734586389,0.0,0.8014402113056045,0.0
141,0.21326227302415535,0.015084028172637223,0.3906489490771905,0.029578430860526257,0.16355051146208927,0.27652225699019484,0.00814760726645642,2.853372597224852,1.1474379349384654,0.5416378315275578,0.0,2.2658116691555397,1.5206729665162209,0.005115770646892022,0.5859532678243365,1.431925523277585,0.0
142,0.03200163723194323,0.01127277744168332,0.23613324970159105,0.1465592237905677,0.07358912315387606,0.378374156621733,0.0,13.049515814917502,0.28449603629076436,0.8930222366728536,0.0,0.04256817285609637,1.4557913971689693,0.029868294836931254,0.0,0.8306744783999959,0.0
143,0.5713674591526317,0.26105029146654907,0.0,0.01913209177213354,0.926082994458318,0.005403632183212869,0.14879473284964304,1.065871351215105,1.0192212892017567,0.0,0.0,0.0,0.24457311129395215,0.21600858721114904,0.0,0.0,0.0
144,0.733026144952805,0.10815954378705708,0.17057085357023966,0.04251654217751214,0.18836632430412875,0.09957012635330341,0.0,6.234535271172097,3.4933913875660156,0.5854978375936474,0.0,0.3029918851706408,2.0033743517426315,0.04904284520098475,0.4015677247597639,0.24870927278306376,0.0
145,0.6508125735351,0.12404342908394923,0.1620750247513638,0.05666559589947982,0.21456228108548803,0.1014803794450219,0.0,5.688629325986957,3.0247678277353325,0.5676096887789096,0.0,0.4038243668597836,1.803232938775397,0.042967057970145967,0.3734595765273845,0.2591153546936581,0.0
146,0.034414530361465245,0.04900244066271601,0.030990999364619187,0.12573715708152364,0.01566934536704386,0.01750355519703425,0.00823504375355996,1.966623102621516,0.28823056577742834,0.1287330627007897,0.0,0.00956648896351703,0.44277847131628767,0.35674124872889335,0.008920632388698077,0.5982994485216048,0.0
147,1.4609550923984163,0.1352065054682254,0.8132950210117545,0.1806972045901229,0.30728301076306924,0.2025853335518193,0.0,5.237245044374392,1.2310317529535588,0.47662522974575233,0.004484420355015599,0.4331650037753586,1.9240680850751417,0.06099691707516802,0.0,0.20329761802268762,0.0
