,Agathobaculum_butyriciproducens,Bacteroides_ovatus,Bacteroides_thetaiotaomicron,Bacteroides_xylanisolvens|t__SGB1867,Bifidobacterium_longum|t__SGB17248,Blautia_faecis,Blautia_wexlerae|t__SGB4837_group,Clostridium_fessum,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae|t__SGB4761,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Fusicatenibacter_saccharivorans|t__SGB4874,Parabacteroides_distasonis,Parabacteroides_merdae|t__SGB1949,Phocaeicola_vulgatus|t__SGB1814,Streptococcus_salivarius|t__SGB8007_group
34,0.31196,1.52173,0.13912,0.07515,0.77494,0.72893,1.03106,0.11809,0.0,0.0,0.29127,0.43792,0.0,1.95616,0.69641,0.91505,0.8132,0.27037
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.02744,0.51486,0.0187,0.98007,0.01523,0.1961,0.27879,0.10965,0.0,0.0,4.754,4.90156,0.00609,0.31249,0.29664,0.26757,2.10271,0.00414
37,0.00764,0.36612,0.72351,0.21125,0.0,0.06264,0.094,0.37634,0.00028,0.00471,0.20813,1.13409,0.04849,0.14549,0.64103,1.55469,9.85288,0.0
38,0.00856,5.81879,0.0,0.0,0.0,0.09207,1.7366,0.07083,0.0,0.0,0.0,0.1114,0.0,1.05495,0.0,0.0,0.01709,0.0
39,0.15219,0.31949,0.28356,0.13179,0.00477,0.10844,0.49345,0.37994,0.00592,0.0,0.2982,0.0663,0.1731,0.10246,0.17309,0.51513,4.92215,0.01961
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.01834,0.03194,0.41625,0.28496,0.0485,0.03056,0.14786,0.16753,0.0,0.0,0.10925,1.5875,0.0073,0.08293,0.25395,0.18348,5.28384,0.12547
43,0.0239,0.97648,0.08992,0.05043,0.25398,0.0181,0.03217,0.16009,0.0,0.00276,0.33041,6.73782,0.00707,0.09424,0.9428,0.92729,2.49754,0.00248
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.09844,0.13392,0.24277,0.18499,3.49571,0.08204,0.11811,0.01825,0.0,0.0,0.00768,0.64509,0.00312,0.62799,0.46521,0.29396,0.07203,0.03102
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.00426,2.65159,0.0,0.0,0.0,0.21238,2.5594,0.05696,0.0,0.0,0.0,0.05052,0.0,1.03991,0.0,0.0,1.23001,0.0
58,0.05407,0.03556,0.09594,0.0,0.09511,1.24526,2.47174,0.24282,0.00189,0.0048,0.03835,1.07179,0.00198,1.48408,0.03605,0.19849,0.07742,6.2258
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.09666,0.07571,0.16625,0.01183,0.18027,0.05462,1.36298,0.0717,0.0,0.0,0.0184,0.19301,0.00715,1.01032,0.09767,0.10646,0.78324,0.02017
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
