,Bacteroides_uniformis|t__SGB1836_group,Faecalibacterium_prausnitzii,_Cutibacterium_acnes|t__SGB16955,_Faecalibacterium_prausnitzii,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,mitis|t__SGB8163,putredinis|t__SGB2318,stercoris|t__SGB1830_group,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
60,0.0,0.0,0.0,13.83267,0.0,5.99416,0.09254,0.0,7.23886,9.82591,2.24322
61,5.46393,6.74958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,4.12081,7.3571,0.08377,0.0,0.34504,0.00846,26.16113,4.05888
63,0.0,0.0,0.0,0.5418,16.40208,2.79229,0.0,7.06524,1.60462,20.36424,10.80752
64,0.0,0.0,0.0,0.0,0.0,65.54647,0.0,0.0,0.0,65.54681,0.0
65,1.36,2.25633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,4.56686,12.11138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.12845,53.56615,0.11345,0.01763,0.14629,0.03994
68,1.97496,3.94999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2.46503,3.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,9.50842,0.3013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,2.68032,0.04466,0.00217,0.0,0.0,0.0,0.10005,0.03742
74,0.0,0.0,0.0,0.23388,0.0,0.03034,0.0,3.41881,0.0,0.03034,0.08291
75,0.0,0.0,0.0,7.28823,0.01294,11.10788,0.0,0.2215,13.0265,19.64524,4.76912
76,0.0,0.0,0.0,9.579,0.0,25.44674,0.0,0.0,15.43745,25.5071,4.50194
77,0.0,0.31913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,8.15887,0.37516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.29749,9.55316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,37.0396,0.03503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.32272,8.59574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.00588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,2.26406,25.55811,0.17837,0.03525,0.02337,0.42058,25.75772,0.75122
84,1.05716,1.22448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,32.26495,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.27809,1.79423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,57.49191,0.0,0.0,3.93773,0.0,0.0,0.0,3.93773,0.4515
89,0.48076,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.42501,0.0,0.51487,0.0,26.60158,0.0,0.7354,39.82765
91,0.62887,0.37516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.72121,3.32052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1.02145,3.85883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.08495,0.61173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4.4218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,2.36009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2.21755,4.92379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2.57294,1.64065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2.00997,3.50458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2.76112,4.85501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,12.93786,7.15817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,7.30184,2.67698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.31574,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.06524,0.0,0.0,0.0,0.0
106,0.00076,3.93278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,15.23865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.73238,2.29811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.11435,0.0,0.0,0.0,0.13981,0.08816
110,0.0,0.77099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,4.37719,1.50839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.60525,0.69599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.5658,16.38875,2.56433,0.0,7.18344,1.64036,20.17052,10.83384
114,7.55254,4.01073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,1.46404,0.0,3.33278,0.0,1.68984,0.0,4.13407,7.6055
116,0.0,1.30621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1.88518,2.17471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,2.19702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.09753,0.0,0.0,0.20472,45.99698,0.0,0.0,0.20472,0.0
120,12.78832627019946,4.736084742040006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,6.789325047706822,4.5843173678197715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.7805944677511533,4.083201979070723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.8106117516622255,5.517184829903917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,8.538810150097275,8.927793055541107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,13.705836371011074,3.7801273112492924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,5.836719300895062,11.136160262938647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.5729717460964929,0.0006228151335992758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,7.956223172221983,6.4081452625731465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,3.7425557306769397,3.1084340789422114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1.8430661284210745,8.906488313697412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,3.2431952639293975,2.636046137188774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.7263744512733642,6.179755948091806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1.857745457239315,2.4394875715947855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.9125050691205061,3.0370551242390613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.9333253813782889,2.9676287495686005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
