,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dorea_longicatena,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Leuconostoc_pseudomesenteroides,Parabacteroides_distasonis|t__SGB1934,Phocaeicola_coprocola,unclassified
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31134
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63149
42,0.0,0.02289,0.0,0.05696,0.02413,0.20131,2.34709,0.05052,0.0,0.41702,1.27474,0.0,0.0,0.0,0.0,0.0
43,0.17746,0.0,0.0,0.24282,0.13425,0.71224,4.66314,1.07179,0.43743,0.65397,2.25976,0.00565,0.00769,0.03605,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93889
45,0.02372,0.0,0.0,0.0717,0.24729,1.82035,17.9645,0.19301,6.29852,1.06912,0.81085,0.32222,0.0,0.09767,0.31231,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81113
47,0.00016,0.0,0.0,0.00108,0.0221,0.01754,0.34133,0.04895,0.10379,0.04589,0.01895,0.0251,0.0,0.09152,0.0,0.0
48,0.0,0.00335,0.0,0.00153,0.09661,0.04822,0.74972,0.01481,0.15843,0.02221,0.2651,0.05177,0.0,1.15538,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11071
50,0.07858,0.00598,0.0,0.10208,0.02099,0.06913,0.0183,0.01063,0.0,0.00517,0.14318,0.00453,0.0,0.59952,17.22455,0.0
