,Bacteroides_gallinarum,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Massilioclostridium_coli,Parabacteroides_distasonis|t__SGB1934,Romboutsia_timonensis,Ruminococcaceae_bacterium|t__SGB4181,unclassified
74,0.0,0.14111,0.08885,0.0,3.2517,0.1535,0.0615,0.00125,0.03225,0.0,0.25662,0.01482,0.39421,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05954
76,0.0,0.0028,0.30869,0.0,0.03271,0.40137,0.37516,0.00882,0.02852,0.07317,0.5534,0.00102,0.25912,0.01222,3.49658,0.0
77,0.0,0.0204,0.03163,0.0,0.50119,0.52231,3.32052,0.52753,2.47243,0.32056,1.22242,0.01362,0.35457,0.09529,0.0,0.0
78,0.0,0.00575,0.03229,0.05894,0.42853,0.69725,3.85883,0.04086,1.65433,0.10678,1.4425,0.02158,0.40805,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.19954,0.68195,0.61173,0.0,0.0,0.57732,1.4982,0.00928,0.00137,0.27211,0.0,0.0
80,0.0,0.10001,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19813,0.0,2.73614,0.87251,0.0,0.0
81,0.0,0.0,0.02683,0.0,0.09166,0.04642,2.36009,0.27314,0.0,0.28007,0.52196,0.00025,0.0,0.0,0.0,0.0
82,0.0,0.19142,0.03386,0.0,0.43596,0.0,4.92379,2.8851,0.50643,0.80019,0.41444,0.0,1.13128,0.04463,2.37897,0.0
83,0.0,0.00395,0.0,0.00327,0.01298,0.01171,1.64065,0.11767,0.0267,0.0,0.04241,0.0,1.40063,0.0,0.0,0.0
84,0.0,0.24652,0.00438,0.0,0.03842,0.00587,3.50458,0.03356,0.11246,1.79418,0.53759,0.0,0.04197,0.00644,0.0,0.0
85,0.0,0.0,0.01696,0.0,0.0,0.40306,0.0,0.0,0.0,0.0,1.72233,0.05107,0.58688,0.0,0.0,0.0
86,0.0,0.0,0.06426,0.0,0.0,0.74038,4.85501,3.32677,0.0,1.52825,0.27816,0.0,0.20776,0.0,0.0,0.0
87,0.0,0.14763,0.00815,0.0,0.28903,0.01928,7.15817,0.16729,2.32542,4.21133,0.04001,0.0,0.54266,0.06728,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.02332,2.67698,0.04543,0.21713,1.06009,0.15175,0.0,0.36444,0.0,0.0,0.0
89,0.0,0.05957,0.0179,0.87118,0.0,0.0,0.0017,0.0017,0.0,0.0,0.76322,0.00792,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56418
91,0.0,0.0,0.04443,0.0,0.0,0.0,3.93278,1.15741,0.00034,2.77471,0.02897,0.0,0.0,0.15231,0.0,0.0
92,0.00147,0.50349,0.07895,0.12663,0.26542,0.02977,0.0,0.0,0.0,0.0,0.97959,0.0,1.52851,0.16828,0.0,0.0
93,0.0,0.00426,0.0,0.0,1.48309,0.0,2.29811,2.29811,0.0,0.0,2.44503,0.0,0.2176,0.18834,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13981
95,0.0,0.0,0.10529,0.0,0.03594,0.06971,0.77099,0.07103,0.0,0.47373,0.81406,0.00235,0.0,0.0,0.0,0.0
96,0.00035,0.05907,0.0,0.0,0.45211,0.04025,1.50839,0.27898,0.08993,0.20872,1.05225,0.0,0.15095,0.1008,0.0,0.0
97,0.0,0.06538,0.0,0.0,0.13069,0.03873,0.69599,0.0,0.0,0.20973,1.13226,0.0,0.74537,0.01867,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39968
99,0.00089,0.12918,0.12487,0.03109,0.52596,0.23794,4.01073,0.31684,1.99488,0.08986,0.60929,0.0011,0.45709,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0145
101,0.0,0.0,0.02815,0.0,0.12981,0.10688,1.30621,0.02743,0.0,0.44255,1.34752,0.0,0.0,0.0029,0.0,0.0
102,0.00024,0.00057,0.08716,0.0034,0.92925,0.0,2.17471,2.17471,0.0,0.0,1.04981,0.0,0.46674,0.0,0.0,0.0
103,0.0,0.0,0.00358,0.0,0.1424,0.04025,2.19702,0.13341,0.33171,0.34653,0.34922,0.0,0.0,0.0311,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09016
105,7.029764404443726e-05,0.26731779520384474,0.027994684862927055,0.27897890414588944,0.07352115511481568,0.20303641521911442,6.907780089294453,3.4136823436260966,1.980218132494484,0.270938476304183,0.18081294798056352,0.0,0.5713634714024345,0.014185187777008534,0.0,0.0
106,0.0,0.45566186077304777,0.0029183562832110843,0.0,0.05706096301822576,0.0174697113231924,2.743690995741916,0.10384904476421217,0.099495420457249,1.262452036097194,0.45058549090383426,0.0,0.5024278158218451,0.005966133772182589,0.0,0.0
107,0.0,0.21238285225668527,0.052477534455654715,0.0,0.18848394162087034,0.2310651864141789,11.013262777406586,3.549630829631523,3.210941171305644,1.0696507832424933,1.9748189116524892,0.0017142663641561186,0.38389140293250684,0.014606703464339225,0.0,0.0
108,0.0,0.07667617628480336,0.13911439332335832,0.0,0.22349690280348383,0.15271588014768273,5.6294624015974,2.4219157467998618,0.5327254669025541,0.2231695436674458,2.296740521292226,0.0,0.3519525024311935,0.08083248116122366,0.0,0.0
109,0.0010002037262312738,0.22296050799168649,0.39041179416469945,0.00026231384247601616,0.15121349171606294,0.12993811693637974,0.30546655922694166,0.10060005674026261,0.065412774817046,0.004046402563613901,0.21495530731289209,0.0031235091307305414,1.056166269613903,0.00021944104241542,0.0,0.0
110,0.000642578907317474,0.09452992697533703,0.0901559866929584,0.1900260819073336,0.7153955966019403,0.18163641134720002,3.7216031631329427,0.8115320647020761,1.4403009108196434,0.307910262972516,0.6695467661111657,0.0007941986494935072,0.8808639515073431,0.0030941536646702412,0.0,0.0
111,0.0,0.21919898519062847,0.027975552269451094,0.0,0.16187218572394643,0.26967704537442094,11.66549572112062,3.920413973979552,3.452775862508412,1.2651642901357951,1.8460498425191714,0.0018771054180315003,0.3734239386683701,0.0,0.0,0.0
112,0.001099244597134216,0.22445119089357726,0.14591662468245964,0.0004017730850377021,0.379644115706365,0.11372112535930312,2.2429012909537014,0.06670827577981017,1.2586620502361754,0.4543259107474076,0.5394220909151783,0.01109135569916474,0.1731544973869528,1.1136351526504896e-05,0.0,0.0
113,1.012497292141734e-06,0.12171772411723225,0.00040320757549366926,0.004018134446068022,0.15884314852693102,0.036986566587228265,11.381404763303365,6.6899424299685295,1.965790833089987,0.5853651315194467,0.20823920684112604,0.0,0.9374501979615444,0.014051947110177196,0.0,0.0
114,0.0006545304002053795,0.15062880926603084,0.2701568397679035,0.0034005893794096,0.2468217559137384,0.06503875706700837,3.474076667283482,0.061213413090422525,0.037542875785365165,1.0756075682627277,0.1723735525886521,0.00031366516210527243,0.80457723402433,0.0,0.0,0.0
115,0.0,0.009208274068350192,0.02920032188171053,0.005437596596740818,0.8215137085526656,0.019499502756366395,6.150075293085813,0.8934057012174286,0.0,1.719913638508602,1.0550053770691477,0.0005015555916003903,0.27910172528709665,0.07314124375363718,0.0,0.0
116,0.0,0.005582529684922309,0.00023926509473963138,0.0,1.4756906598152773,0.0,2.3166638562893076,2.3022578505009217,0.003578588952421486,0.00565438677376567,2.430681231283894,0.0,0.2240563417531514,0.18732450127687442,0.016810528128551116,0.0
117,0.0,0.009821525958734624,0.0005903980810602434,0.5888979701850345,1.1835124657003884,0.04010205037467603,3.1815160167033176,2.1392648366036564,0.08484274111511153,0.8828291201107283,0.8519312620969958,4.6124850082831514e-05,1.9446151559723515,0.010873315209289042,0.0,0.0
