,Faecalibacterium_prausnitzii,GGB3746_SGB5089|t__SGB5089,Phocaeicola_vulgatus|t__SGB1814,_Cutibacterium_acnes|t__SGB16955,_Faecalibacterium_prausnitzii,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,mitis|t__SGB8163,putredinis|t__SGB2318,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
60,0.0,0.0,0.0,0.0,7.28823,0.01294,11.10788,0.0,0.2215,19.64524,4.76912
61,0.0,0.0,0.0,0.0,9.579,0.0,25.44674,0.0,0.0,25.5071,4.50194
62,0.31913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.37516,0.0,2.89191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,9.55316,0.11686,0.4992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.03503,0.0,34.3644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8.59574,15.1772,27.5648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.00594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,2.26406,25.55811,0.17837,0.03525,0.02337,25.75772,0.75122
69,1.22448,0.0,4.16439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26495,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.79423,0.77777,4.19831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,57.49191,0.0,0.0,3.93773,0.0,0.0,3.93773,0.4515
74,0.0615,0.0,0.05045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.42501,0.0,0.51487,0.0,26.60158,0.7354,39.82765
76,0.37516,0.0,4.03919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3.32052,0.0,0.25902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,3.85883,0.0,0.58497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.61173,0.00372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.08077,4.02697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2.36009,0.8213,0.05381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.92379,0.51509,11.96695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1.64065,0.03519,12.95092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,3.50458,0.06882,1.63322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.28383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4.85501,0.0,0.13864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,7.15817,0.0,6.98396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2.67698,0.01099,7.04719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0017,0.0,1.09749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06524,0.0,0.0,0.0
91,3.93278,18.41012,0.37179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.01255,1.54826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2.29811,19.13097,37.84533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.11435,0.0,0.0,0.13981,0.08816
95,0.77099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.50839,0.69364,5.34366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.69599,0.09434,4.9343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.5658,16.38875,2.56433,0.0,7.18344,20.17052,10.83384
99,4.01073,0.02723,2.51476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,1.46404,0.0,3.33278,0.0,1.68984,4.13407,7.6055
101,1.30621,0.27549,3.18053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2.17471,0.0,14.07345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2.19702,0.07004,9.06499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.09753,0.0,0.0,0.20472,45.99698,0.0,0.20472,0.0
105,6.907780089294453,0.0039799281551312175,2.4710107506398455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2.743690995741916,0.045854173381412525,2.477893225256758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,11.013262777406586,0.021454712674895248,2.5307457194082152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,5.6294624015974,0.9747830863083873,0.7340802990457176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.30546655922694166,0.10043555152835545,14.466861980653514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3.7216031631329427,0.10789205622678077,3.61447169664234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,11.66549572112062,0.014219073541588615,2.77966162448069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2.2429012909537014,0.0028135433845766153,4.920223590302058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,11.381404763303365,5.7322923616639175e-05,2.497157899098827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,3.474076667283482,5.871284363962994,19.90436144044913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,6.150075293085813,16.712634083656248,31.557211334005412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2.3166638562893076,18.99942450998637,37.662465468328165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,3.1815160167033176,0.3104098432797329,6.38940708057705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
