,Agathobaculum_butyriciproducens|t__SGB14993_group,Bacteroides_ovatus|t__SGB1871,Bacteroides_uniformis|t__SGB1836_group,Blautia_faecis,Blautia_massiliensis,Blautia_obeum|t__SGB4811_group,Blautia_wexlerae,Clostridiaceae_bacterium|t__SGB4269,Clostridium_fessum|t__SGB4705,Coprococcus_catus,Dorea_longicatena,Enterocloster_bolteae|t__SGB4758_group,Escherichia_coli|t__SGB10068,GGB9581_SGB14999|t__SGB14999,Parabacteroides_merdae|t__SGB1949
81,0.03975,3.20906,0.0,0.26681,0.50131,0.93185,3.33163,0.55484,0.09166,0.03043,0.26333,0.0,0.0,0.0,0.0
82,0.08898,0.01982,2.21755,0.09236,0.03415,0.00586,0.31033,0.15172,0.43596,0.01129,0.08536,0.01174,3.68166,0.02825,0.31184
83,0.0,3.31935,2.57294,0.0,0.0,0.0,0.00789,0.0122,0.01298,0.0,0.0,0.0,0.0,0.0,8.52643
84,0.03713,0.64193,2.00997,0.01113,0.0,0.01149,0.16458,0.41565,0.03842,0.00291,0.05966,0.0,0.21819,0.0,0.03478
85,0.33563,0.0,0.7217,0.0714,0.0027,0.0,13.75679,0.01708,0.0,0.0,1.18476,0.72807,0.53765,0.0,0.0
86,0.16145,2.21996,2.76112,1.49592,0.0,0.51872,6.0884,0.06061,0.0,0.5637,0.0,0.0,0.67104,0.0,0.26538
87,0.03703,0.0253,12.93786,0.07559,0.05961,0.0,0.26184,0.04066,0.28903,0.00087,0.01396,0.0072,0.1513,0.00095,0.8108
88,0.0,0.76138,7.30184,0.0,0.00092,0.00071,0.01493,0.00086,0.0,0.0,0.00585,0.0,0.02157,0.0,0.33115
89,0.20423,0.0,0.31574,0.00708,1.29265,0.00597,8.7047,0.0261,0.0,0.31897,2.28476,0.18295,0.54982,0.15415,0.11229
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.12436,0.00401,0.00076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75229,0.0,0.3404,0.0,0.0
92,0.18155,2.23342,15.23865,0.08678,0.02885,0.02165,0.16702,0.46934,0.26542,0.07552,0.0,0.19325,0.75182,0.02296,0.0
93,0.29905,1.84356,0.73238,0.0,0.15815,0.0,0.62134,0.18874,1.48309,0.0,0.17497,0.03254,0.30892,0.0,0.15349
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,6.45791,0.0,0.0874,0.75149,3.11014,0.93093,0.3851,0.03594,0.0,0.15001,0.0,0.0,0.0,0.0
